Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7769,1340,1587,986,596,153,393
2,Denmark,7600,1383,1573,996,592,252,410
3,Norway,7554,1488,1582,1028,603,271,341
4,Iceland,7494,1380,1624,1026,591,354,118
5,Netherlands,7488,1396,1522,999,557,322,298
6,Switzerland,7480,1452,1526,1052,572,263,343
7,Sweden,7343,1387,1487,1009,574,267,373
8,New Zealand,7307,1303,1557,1026,585,330,380
9,Canada,7278,1365,1505,1039,584,285,308
10,Austria,7246,1376,1475,1016,532,244,226
11,Australia,7228,1372,1548,1036,557,332,290
12,Costa Rica,7167,1034,1441,963,558,144,93
13,Israel,7139,1276,1455,1029,371,261,82
14,Luxembourg,7090,1609,1479,1012,526,194,316
15,United Kingdom,7054,1333,1538,996,450,348,278
16,Ireland,7021,1499,1553,999,516,298,310
17,Germany,6985,1373,1454,987,495,261,265
18,Belgium,6923,1356,1504,986,473,160,210
19,United States,6892,1433,1457,874,454,280,128
20,Czech Republic,6852,1269,1487,920,457,46,36
21,United Arab Emirates,6825,1503,1310,825,598,262,182
22,Malta,6726,1300,1520,999,564,375,151
23,Mexico,6595,1070,1323,861,433,74,73
24,France,6592,1324,1472,1045,436,111,183
25,Taiwan,6446,1368,1430,914,351,242,97
26,Chile,6444,1159,1369,920,357,187,56
27,Guatemala,6436,800,1269,746,535,175,78
28,Saudi Arabia,6375,1403,1357,795,439,80,132
29,Qatar,6374,1684,1313,871,555,220,167
30,Spain,6354,1286,1484,1062,362,153,79
31,Panama,6321,1149,1442,910,516,109,54
32,Brazil,6300,1004,1439,802,390,99,86
33,Uruguay,6293,1124,1465,891,523,127,150
34,Singapore,6262,1572,1463,1141,556,271,453
35,El Salvador,6253,794,1242,789,430,93,74
36,Italy,6223,1294,1488,1039,231,158,30
37,Bahrain,6199,1362,1368,871,536,255,110
38,Slovakia,6198,1246,1504,881,334,121,14
39,Trinidad & Tobago,6192,1231,1477,713,489,185,16
40,Poland,6182,1206,1438,884,483,117,50
41,Uzbekistan,6174,745,1529,756,631,322,240
42,Lithuania,6149,1238,1515,818,291,43,42
43,Colombia,6125,985,1410,841,470,99,34
44,Slovenia,6118,1258,1523,953,564,144,57
45,Nicaragua,6105,694,1325,835,435,200,127
46,Kosovo,6100,882,1232,758,489,262,6
47,Argentina,6086,1092,1432,881,471,66,50
48,Romania,6070,1162,1232,825,462,83,5
49,Cyprus,6046,1263,1223,1042,406,190,41
50,Ecuador,6028,912,1312,868,498,126,87
51,Kuwait,6021,1500,1319,808,493,142,97
52,Thailand,6008,1050,1409,828,557,359,28
53,Latvia,5940,1187,1465,812,264,75,64
54,South Korea,5895,1301,1219,1036,159,175,56
55,Estonia,5893,1237,1528,874,495,103,161
56,Jamaica,5890,831,1478,831,490,107,28
57,Mauritius,5888,1120,1402,798,498,215,60
58,Japan,5886,1327,1419,1088,445,69,140
59,Honduras,5860,642,1236,828,507,246,78
60,Kazakhstan,5809,1173,1508,729,410,146,96
61,Bolivia,5779,776,1209,706,511,137,64
62,Hungary,5758,1201,1410,828,199,81,20
63,Paraguay,5743,855,1475,777,514,184,80
64,Northern Cyprus,5718,1263,1252,1042,417,191,162
65,Peru,5697,960,1274,854,455,83,27
66,Portugal,5693,1221,1431,999,508,47,25
67,Pakistan,5653,677,886,535,313,220,98
68,Russia,5648,1183,1452,726,334,82,31
69,Philippines,5631,807,1293,657,558,117,107
70,Serbia,5603,1004,1383,854,282,137,39
71,Moldova,5529,685,1328,739,245,181,0
72,Libya,5525,1044,1303,673,416,133,152
73,Montenegro,5523,1051,1361,871,197,142,80
74,Tajikistan,5467,493,1098,718,389,230,144
75,Croatia,5432,1155,1266,914,296,119,22
76,Hong Kong,5430,1438,1277,1122,440,258,287
77,Dominican Republic,5425,1015,1401,779,497,113,101
78,Bosnia and Herzegovina,5386,945,1212,845,212,263,6
79,Turkey,5373,1183,1360,808,195,83,106
80,Malaysia,5339,1221,1171,828,508,260,24
81,Belarus,5323,1067,1465,789,235,94,142
82,Greece,5287,1181,1156,999,67,0,34
83,Mongolia,5285,948,1531,667,317,235,38
84,North Macedonia,5274,983,1294,838,345,185,34
85,Nigeria,5265,696,1111,245,426,215,41
86,Kyrgyzstan,5261,551,1438,723,508,300,23
87,Turkmenistan,5247,1052,1538,657,394,244,28
88,Algeria,5211,1002,1160,785,86,73,114
89,Morocco,5208,801,782,782,418,36,76
90,Azerbaijan,5208,1043,1147,769,351,35,182
91,Lebanon,5197,987,1224,815,216,166,27
92,Indonesia,5192,931,1203,660,491,498,28
93,China,5191,1029,1125,893,521,58,100
94,Vietnam,5175,741,1346,851,543,147,73
95,Bhutan,5082,813,1321,604,457,370,167
96,Cameroon,5044,549,910,331,381,187,37
97,Bulgaria,5011,1092,1513,815,311,81,4
